iter	Passed	Remaining
0	381	381307
1	385	192199
2	387	128844
3	390	97193
4	392	78107
5	394	65332
6	396	56196
7	398	49407
8	400	44046
9	401	39753
10	402	36218
11	404	33269
12	405	30775
13	406	28635
14	407	26775
15	409	25159
16	410	23725
17	411	22455
18	412	21314
19	414	20289
20	415	19362
21	416	18519
22	417	17754
23	419	17043
24	420	16392
25	421	15794
26	422	15235
27	423	14716
28	425	14241
29	426	13792
30	427	13374
31	429	12980
32	430	12609
33	431	12265
34	432	11938
35	434	11626
36	435	11331
37	436	11053
38	437	10790
39	439	10548
40	440	10310
41	442	10082
42	443	9865
43	444	9657
44	445	9464
45	447	9280
46	448	9096
47	449	8920
48	450	8751
49	452	8591
50	453	8444
51	454	8291
52	455	8145
53	457	8007
54	458	7874
55	459	7746
56	460	7624
57	462	7505
58	463	7389
59	464	7278
60	465	7170
61	467	7066
62	468	6966
63	469	6870
64	470	6775
65	472	6682
66	473	6592
67	474	6510
68	476	6424
69	477	6341
70	478	6266
71	480	6192
72	481	6118
73	482	6043
74	484	5970
75	485	5897
76	485	5825
77	486	5754
78	487	5686
79	488	5622
80	490	5560
81	491	5499
82	491	5434
83	492	5373
84	493	5314
85	494	5258
86	495	5202
87	496	5149
88	498	5098
89	499	5049
90	500	4999
91	501	4949
92	502	4900
93	503	4852
94	504	4806
95	505	4761
96	506	4716
97	507	4673
98	508	4630
99	509	4588
100	510	4547
101	511	4506
102	512	4466
103	513	4427
104	514	4388
105	515	4351
106	517	4316
107	518	4280
108	519	4244
109	520	4210
110	521	4176
111	522	4142
112	525	4121
113	526	4094
114	527	4062
115	528	4030
116	530	4000
117	531	3970
118	532	3940
119	533	3911
120	534	3882
121	535	3855
122	539	3844
123	540	3817
124	541	3789
125	542	3761
126	543	3734
127	544	3708
128	545	3683
129	546	3658
130	547	3632
131	548	3607
132	549	3583
133	550	3559
134	551	3536
135	553	3514
136	554	3492
137	555	3471
138	556	3449
139	557	3427
140	558	3405
141	559	3382
142	560	3361
143	561	3340
144	562	3319
145	563	3298
146	564	3278
147	566	3258
148	567	3239
149	568	3220
150	569	3201
151	570	3182
152	571	3164
153	572	3145
154	573	3127
155	574	3109
156	579	3110
157	580	3093
158	581	3077
159	583	3061
160	584	3043
161	585	3027
162	586	3012
163	587	2995
164	588	2980
165	590	2965
166	591	2951
167	592	2935
168	593	2920
169	594	2904
170	596	2889
171	597	2874
172	598	2859
173	599	2845
174	600	2830
175	601	2816
176	602	2801
177	603	2787
178	604	2773
179	605	2760
180	606	2746
181	608	2732
182	609	2719
183	610	2705
184	611	2692
185	612	2678
186	613	2666
187	614	2653
188	615	2641
189	616	2628
190	617	2615
191	618	2603
192	619	2590
193	620	2579
194	621	2567
195	622	2554
196	623	2542
197	624	2531
198	625	2519
199	626	2507
200	627	2496
201	628	2484
202	629	2472
203	630	2461
204	631	2450
205	632	2439
206	633	2428
207	634	2417
208	636	2407
209	637	2396
210	638	2386
211	639	2376
212	640	2365
213	641	2355
214	642	2345
215	643	2335
216	644	2325
217	645	2315
218	646	2305
219	647	2296
220	648	2286
221	649	2277
222	650	2267
223	651	2258
224	652	2248
225	653	2239
226	654	2230
227	655	2221
228	657	2212
229	658	2203
230	659	2194
231	660	2185
232	661	2176
233	662	2167
234	663	2159
235	664	2150
236	665	2141
237	666	2133
238	667	2124
239	668	2115
240	669	2107
241	670	2099
242	671	2091
243	672	2083
244	673	2075
245	674	2067
246	675	2059
247	676	2051
248	677	2043
249	678	2035
250	679	2027
251	680	2019
252	681	2012
253	682	2004
254	683	1996
255	684	1988
256	685	1982
257	686	1974
258	687	1967
259	688	1960
260	689	1953
261	690	1945
262	691	1938
263	692	1931
264	693	1924
265	694	1917
266	696	1910
267	696	1903
268	697	1896
269	698	1889
270	699	1882
271	700	1876
272	702	1870
273	703	1863
274	704	1856
275	705	1850
276	706	1843
277	707	1836
278	708	1830
279	709	1824
280	710	1817
281	711	1811
282	712	1804
283	713	1798
284	714	1792
285	715	1786
286	716	1780
287	717	1774
288	718	1768
289	719	1762
290	720	1756
291	721	1749
292	722	1743
293	723	1737
294	724	1732
295	725	1726
296	726	1720
297	728	1715
298	729	1709
299	730	1703
300	731	1698
301	732	1692
302	733	1687
303	734	1681
304	735	1675
305	736	1670
306	737	1664
307	738	1659
308	739	1653
309	740	1648
310	741	1643
311	742	1637
312	743	1632
313	744	1626
314	745	1621
315	746	1616
316	747	1611
317	748	1606
318	749	1600
319	750	1595
320	751	1590
